sweep,method_name,dataset,dataset_id,epochs,weight_paths_count
1692idyk,sngp,hard/cifar10,soft/cifar10,250,0
1yzdpvwt,sngp,hard/imagenet,soft/imagenet,50,0
42thx27s,laplace,hard/imagenet,soft/imagenet,0,5
54kpysjy,fast-deep-ensemble,hard/imagenet,soft/imagenet,0,1
5lhhpt1y,edl,hard/cifar10,soft/cifar10,200,0
5w1yjrmj,ddu,hard/cifar10,soft/cifar10,250,0
8a3palks,mahalanobis,hard/imagenet,soft/imagenet,0,5
8ugac5sn,postnet,hard/cifar10,soft/cifar10,200,0
9fb4ansn,loss-prediction,hard/cifar10,soft/cifar10,200,0
adp0fyi8,shallow-ensemble,hard/imagenet,soft/imagenet,50,0
bn1hsbqz,deep-ensemble,hard/cifar10,soft/cifar10,0,1
e6rpfaue,het-xl,hard/cifar10,soft/cifar10,200,0
h0m0bybl,mahalanobis,hard/cifar10,soft/cifar10,0,5
ixrv6bih,ddu,hard/imagenet,soft/imagenet,50,0
jfnn98e3,temperature-scaling,hard/imagenet,soft/imagenet,0,5
jkzjb5vz,sngp,hard/cifar10,soft/cifar10,250,0
k6scvi1c,shallow-ensemble,hard/cifar10,soft/cifar10,200,0
lh04ospw,temperature-scaling,hard/cifar10,soft/cifar10,0,5
nnle8epz,laplace,hard/cifar10,soft/cifar10,0,5
o04c996o,swag,hard/imagenet,soft/imagenet,10,5
olapo0kg,het-xl,hard/cifar10,soft/cifar10,200,0
pb3a6oru,hetclassnn,hard/cifar10,soft/cifar10,200,0
xibtpo9s,sngp,hard/imagenet,soft/imagenet,50,0
yfsrcusv,postnet,hard/imagenet,soft/imagenet,50,0
zsiqsl6u,swag,hard/cifar10,soft/cifar10,40,5
