method,queue_run,reference_run,paper_or_wandb_best_metric,paper_or_wandb_final_metric,reproduction_best_metric,reproduction_best_epoch,reproduction_final_metric,reproduction_final_accuracy,delta_best,delta_final
sngp,1692idyk,265zll5l,0.9497637748718262,0.921112060546875,0.9509,157,0.9300,0.9581,0.0011362251281737956,0.008887939453125049
edl,5lhhpt1y,xpx7tyi9,0.9338050484657288,0.9187805652618408,0.9355,93,0.9299,0.9354,0.0016949515342712385,0.011119434738159129
ddu,5w1yjrmj,b9qjk5ud,0.9486089944839478,0.9337496161460876,0.9345,126,0.9297,0.9550,-0.014108994483947757,-0.004049616146087676
postnet,8ugac5sn,4m15qbdr,0.9334360361099244,0.9166001081466676,0.9298,122,0.9127,0.9575,-0.0036360361099244676,-0.0039001081466676357
loss-prediction,9fb4ansn,v6lanm4t,,,0.8214,36,0.7144,0.9426,,
het-xl,e6rpfaue,muob7dqc,0.949031949043274,0.9461663961410522,0.9376,114,0.9253,0.9540,-0.011431949043274048,-0.020866396141052235
sngp,jkzjb5vz,7i97jbeb,0.947561264038086,0.9282995462417604,0.9422,150,0.9337,0.9570,-0.005361264038086011,0.0054004537582396095
shallow-ensemble,k6scvi1c,ys3htnzk,0.9437897205352784,0.923852562904358,0.9462,145,0.9339,0.9573,0.0024102794647216097,0.010047437095641931
het-xl,olapo0kg,nd7ta6u5,0.9440852999687196,0.9308875799179076,0.9433,199,0.9433,0.9509,-0.0007852999687195661,0.012412420082092424
hetclassnn,pb3a6oru,0x44hejn,0.953238010406494,0.9517855644226074,0.9460,120,0.9307,0.9603,-0.0072380104064940776,-0.02108556442260745
ce-baseline,cedfgnqz,goq7ssy6,0.9468677043914796,0.9374001026153564,0.9391,159,0.9379,0.9553,-0.007767704391479557,0.0004998973846435106
correctness-prediction,azcfycns,cdc24149,0.9258740544319152,0.9193102717399596,0.9176,60,0.9039,0.9433,-0.0082740544319152,-0.0154102717399596
mc-dropout,k4xc00mf,bg1qdz6z,0.9495165944099426,0.9385,0.9444,193,0.9384,0.9588,-0.005116594409942632,-0.0001
