phase,train_fraction,method,queue_run,final_accuracy,final_correctness_auroc,best_correctness_auroc,best_epoch,ood_enabled,corruption_evals_finished
full-data,1.0,sngp,1692idyk,0.9581,0.9300,0.9509,157,yes,80
full-data,1.0,edl,5lhhpt1y,0.9354,0.9299,0.9355,93,yes,80
full-data,1.0,ddu,5w1yjrmj,0.9550,0.9297,0.9345,126,yes,80
full-data,1.0,postnet,8ugac5sn,0.9575,0.9127,0.9298,122,yes,80
full-data,1.0,loss-prediction,9fb4ansn,0.9426,0.7144,0.8214,36,yes,80
full-data,1.0,het-xl,e6rpfaue,0.9540,0.9253,0.9376,114,yes,80
full-data,1.0,sngp,jkzjb5vz,0.9570,0.9337,0.9422,150,yes,80
full-data,1.0,shallow-ensemble,k6scvi1c,0.9573,0.9339,0.9462,145,yes,80
full-data,1.0,het-xl,olapo0kg,0.9509,0.9433,0.9433,199,yes,80
full-data,1.0,hetclassnn,pb3a6oru,0.9603,0.9307,0.9460,120,yes,80
scarce-50pct,0.5,sngp,1692idyk,0.9298,0.9199,0.9261,171,yes,80
scarce-50pct,0.5,edl,5lhhpt1y,0.9039,0.8945,0.9096,106,yes,80
scarce-50pct,0.5,ddu,5w1yjrmj,0.9375,0.9150,0.9224,74,yes,80
scarce-50pct,0.5,postnet,8ugac5sn,0.9314,0.9019,0.9059,121,yes,80
scarce-50pct,0.5,loss-prediction,9fb4ansn,0.9181,0.7927,0.8064,62,yes,80
scarce-50pct,0.5,het-xl,e6rpfaue,0.9243,0.9129,0.9188,135,yes,80
scarce-50pct,0.5,sngp,jkzjb5vz,0.9286,0.9174,0.9210,195,yes,80
scarce-50pct,0.5,shallow-ensemble,k6scvi1c,0.9324,0.9161,0.9232,143,yes,80
scarce-50pct,0.5,het-xl,olapo0kg,0.9342,0.8960,0.9178,119,yes,80
scarce-50pct,0.5,hetclassnn,pb3a6oru,0.9288,0.9313,0.9313,199,yes,80
scarce-10pct,0.1,sngp,1692idyk,0.7771,0.8273,0.8284,137,yes,80
scarce-10pct,0.1,edl,5lhhpt1y,0.5991,0.8252,0.8347,105,yes,80
scarce-10pct,0.1,ddu,5w1yjrmj,0.8203,0.8471,0.8592,92,yes,80
scarce-10pct,0.1,postnet,8ugac5sn,0.8210,0.8498,0.8498,199,yes,80
scarce-10pct,0.1,loss-prediction,9fb4ansn,0.7694,0.6925,0.7074,26,yes,80
scarce-10pct,0.1,het-xl,e6rpfaue,0.7989,0.8475,0.8533,85,yes,80
scarce-10pct,0.1,sngp,jkzjb5vz,0.7677,0.8274,0.8375,232,yes,80
scarce-10pct,0.1,shallow-ensemble,k6scvi1c,0.8162,0.8482,0.8516,174,yes,80
scarce-10pct,0.1,het-xl,olapo0kg,0.8289,0.8502,0.8583,189,yes,80
scarce-10pct,0.1,hetclassnn,pb3a6oru,0.8127,0.8395,0.8478,184,yes,80
