phase,train_fraction,method,queue_run,it_aleatoric_mean,it_epistemic_mean,kg_prob_aleatoric_mean,kg_prob_epistemic_mean,kg_logit_aleatoric_mean,kg_logit_epistemic_mean,bregman_aleatoric_mean,bregman_epistemic_mean
full-data,1.0,sngp,1692idyk,0.0560415014624595,0.0003824090817943,0.0560415014624595,2.082322316709906e-05,0.0560415014624595,0.0252884421497583,0.0560415014624595,0.0003834309172816
full-data,1.0,edl,5lhhpt1y,0.6779928207397461,0.0765072479844093,0.6779928207397461,0.001002877485007,0.6779928207397461,0.0,0.6779928207397461,0.0916831642389297
full-data,1.0,ddu,5w1yjrmj,0.2074528634548187,0.0,0.2074528634548187,0.0,0.2074528634548187,0.0,0.2074528634548187,-1.2161401052868115e-10
full-data,1.0,postnet,8ugac5sn,0.1023171916604042,0.0013086368562653,0.1023171916604042,7.874761649873108e-06,0.1023171916604042,0.0,0.1023171916604042,0.0013737512053921
full-data,1.0,loss-prediction,9fb4ansn,0.140166774392128,0.0,0.140166774392128,0.0,0.140166774392128,0.0,0.140166774392128,-4.979660780946027e-12
full-data,1.0,het-xl,e6rpfaue,0.0715209394693374,0.0004108925932087,0.0715209394693374,2.365594991715625e-05,0.0715209394693374,0.0200921222567558,0.0715209394693374,0.0004127316060476
full-data,1.0,sngp,jkzjb5vz,0.0797888189554214,0.0004556193307507,0.0797888189554214,2.5002587790368125e-05,0.0797888189554214,0.0259985942393541,0.0797888189554214,0.0004568102303892
full-data,1.0,shallow-ensemble,k6scvi1c,0.0517693012952804,2.1201852007379784e-07,0.0517693012952804,1.379461345152322e-08,0.0517693012952804,0.0001023546647047,0.0517693012952804,2.276615020946338e-07
full-data,1.0,het-xl,olapo0kg,0.050698522478342,0.0013886996312066,0.050698522478342,7.233578071463853e-05,0.050698522478342,0.1026242896914482,0.050698522478342,0.001401848741807
full-data,1.0,hetclassnn,pb3a6oru,0.0838098227977752,0.0343394801020622,0.0838098227977752,0.0018549939850345,0.0838098227977752,2.061457872390747,0.0838098227977752,0.0406569316983222
scarce-50pct,0.5,sngp,1692idyk,0.0808049961924552,0.0010909986449405,0.0808049961924552,6.061717795091681e-05,0.0808049961924552,0.0511062070727348,0.0808049961924552,0.0010976460762321
scarce-50pct,0.5,edl,5lhhpt1y,0.9110427498817444,0.1131665259599685,0.9110427498817444,0.0017262671608477,0.9110427498817444,0.0,0.9110427498817444,0.1387887597084045
scarce-50pct,0.5,ddu,5w1yjrmj,0.2316124588251114,0.0,0.2316124588251114,0.0,0.2316124588251114,0.0,0.2316124588251114,3.482790791875523e-11
scarce-50pct,0.5,postnet,8ugac5sn,0.1310423910617828,0.0015482073649764,0.1310423910617828,9.376561138196848e-06,0.1310423910617828,0.0,0.1310423910617828,0.0016094800084829
scarce-50pct,0.5,loss-prediction,9fb4ansn,0.0890408009290695,0.0,0.0890408009290695,0.0,0.0890408009290695,0.0,0.0890408009290695,1.1677413203070586e-10
scarce-50pct,0.5,het-xl,e6rpfaue,0.0784917101264,0.0006752554327249,0.0784917101264,3.599523915909231e-05,0.0784917101264,0.0665338858962059,0.0784917101264,0.0006778644165024
scarce-50pct,0.5,sngp,jkzjb5vz,0.0780255198478698,0.0010982740204781,0.0780255198478698,5.969468475086615e-05,0.0780255198478698,0.0509760119020938,0.0780255198478698,0.0011054060887545
scarce-50pct,0.5,shallow-ensemble,k6scvi1c,0.0837413817644119,4.817611625185236e-07,0.0837413817644119,2.8549422381729528e-08,0.0837413817644119,0.0001048161211656,0.0837413817644119,4.976333798367705e-07
