train_fraction,paper_method,queue_run,paper_au,reproduction_au,delta_au,paper_eu,reproduction_eu,delta_eu
1.0,EDL,5lhhpt1y,0.716000,0.677993,-0.038007,0.083000,0.076507,-0.006493
0.5,EDL,5lhhpt1y,0.869000,0.911043,+0.042043,0.106000,0.113167,+0.007167
0.1,EDL,5lhhpt1y,1.701000,1.656961,-0.044039,0.296000,0.286632,-0.009368
1.0,HET,e6rpfaue,0.088000,0.071521,-0.016479,0.001000,0.000411,-0.000589
0.5,HET,e6rpfaue,0.108000,0.078492,-0.029508,0.001000,0.000675,-0.000325
0.1,HET,e6rpfaue,0.200000,0.157707,-0.042293,0.004000,0.007447,+0.003447
1.0,HET-XL,olapo0kg,0.079000,0.050699,-0.028301,0.004000,0.001389,-0.002611
0.5,HET-XL,olapo0kg,0.104000,0.144081,+0.040081,0.007000,0.009330,+0.002330
0.1,HET-XL,olapo0kg,0.214000,0.212664,-0.001336,0.014000,0.013417,-0.000583
1.0,HetClassNN,pb3a6oru,0.080000,0.083810,+0.003810,0.034000,0.034339,+0.000339
0.5,HetClassNN,pb3a6oru,0.082000,0.079555,-0.002445,0.047000,0.046721,-0.000279
0.1,HetClassNN,pb3a6oru,0.184000,0.187140,+0.003140,0.109000,0.110292,+0.001292
1.0,PostNet,8ugac5sn,0.118000,0.102317,-0.015683,0.001000,0.001309,+0.000309
0.5,PostNet,8ugac5sn,0.109000,0.131042,+0.022042,0.001000,0.001548,+0.000548
0.1,PostNet,8ugac5sn,0.480000,0.222459,-0.257541,0.008000,0.002050,-0.005950
1.0,Shallow,k6scvi1c,0.076000,0.051769,-0.024231,0.000000,0.000000,+0.000000
0.5,Shallow,k6scvi1c,0.093000,0.083741,-0.009259,0.000000,0.000000,+0.000000
0.1,Shallow,k6scvi1c,0.228000,0.238180,+0.010180,0.001000,0.000236,-0.000764
1.0,SNGP,1692idyk,0.058000,0.056042,-0.001958,0.000000,0.000382,+0.000382
0.5,SNGP,1692idyk,0.082000,0.080805,-0.001195,0.001000,0.001091,+0.000091
0.1,SNGP,1692idyk,0.201000,0.214206,+0.013206,0.016000,0.015889,-0.000111
