phase,train_fraction,method,queue_run,severity2_bregman_au_ood_auroc_mean,severity2_bregman_eu_ood_auroc_mean,all_bregman_au_ood_auroc_mean,all_bregman_eu_ood_auroc_mean,n_corruption_points
full-data,1.0,ddu,5w1yjrmj,0.6810207257117163,0.5000541856191775,0.7252426441357399,0.5000075860772736,75
full-data,1.0,edl,5lhhpt1y,0.6686381961300732,0.6688077672691285,0.7144782200715745,0.7148675463044946,75
full-data,1.0,het-xl,e6rpfaue,0.6845905746753834,0.6722357262768085,0.7282212485026144,0.7179655931147095,75
full-data,1.0,het-xl,olapo0kg,0.6446196828113451,0.6439911531819436,0.695908293201642,0.6950017050601424,75
full-data,1.0,hetclassnn,pb3a6oru,0.6842358230617547,0.6840353539355907,0.7300762994031257,0.7271941984327651,75
full-data,1.0,loss-prediction,9fb4ansn,0.6609613426575899,0.49999903341878016,0.7053386130590394,0.5001456537344803,75
full-data,1.0,postnet,8ugac5sn,0.6551167820349748,0.6216049989660208,0.700664676324652,0.6538435648356049,75
full-data,1.0,shallow-ensemble,k6scvi1c,0.6498035267405284,0.594691650082597,0.6991650861659598,0.6373498875812594,75
full-data,1.0,sngp,1692idyk,0.6996698866956644,0.6914752437261271,0.7483815683632731,0.7418668375748947,75
full-data,1.0,sngp,jkzjb5vz,0.6972757864030522,0.6916680934383829,0.7448334373110207,0.7404232812256373,75
scarce-10pct,0.1,ddu,5w1yjrmj,0.6147498844722559,0.5016585410432127,0.6474362051865498,0.501935534413607,75
scarce-10pct,0.1,edl,5lhhpt1y,0.5200199488956642,0.5321460128642449,0.5310227648629119,0.5440136911020935,75
scarce-10pct,0.1,het-xl,e6rpfaue,0.6012238503544572,0.6015314070773746,0.630822616601854,0.6317737269056388,75
scarce-10pct,0.1,het-xl,olapo0kg,0.6301985917663514,0.6292793666851142,0.6607810209974777,0.6596274415506435,75
scarce-10pct,0.1,hetclassnn,pb3a6oru,0.5931342205008924,0.5951772805981115,0.6247806387857174,0.6258513973503246,75
scarce-10pct,0.1,loss-prediction,9fb4ansn,0.5639947580678911,0.49864912348023455,0.5794608777745999,0.49894333014932246,75
scarce-10pct,0.1,postnet,8ugac5sn,0.603713645811377,0.5871957619933887,0.6330611759490532,0.6107358893545509,75
scarce-10pct,0.1,shallow-ensemble,k6scvi1c,0.6083746598893288,0.6026861536687673,0.6385456268187716,0.6324963676656823,75
scarce-10pct,0.1,sngp,1692idyk,0.5986955528965967,0.6028919312916022,0.6245166963453301,0.6324703516837374,75
scarce-10pct,0.1,sngp,jkzjb5vz,0.5759750394848882,0.5770000920743347,0.6011253570869898,0.6051373344324277,75
scarce-50pct,0.5,ddu,5w1yjrmj,0.6778985062180252,0.49913978347928434,0.7225120987523873,0.4993126949853404,75
scarce-50pct,0.5,edl,5lhhpt1y,0.6354402022852479,0.635434477080647,0.6767525911170842,0.6770502001158303,75
scarce-50pct,0.5,het-xl,e6rpfaue,0.6651659075516427,0.6613462313134123,0.7077155433543474,0.704803232327317,75
scarce-50pct,0.5,het-xl,olapo0kg,0.6832048967022714,0.6823172671409818,0.7253303834397804,0.7241506872763885,75
scarce-50pct,0.5,hetclassnn,pb3a6oru,0.6624189815607465,0.6627234627979647,0.7072316412708548,0.7059571177827138,75
scarce-50pct,0.5,loss-prediction,9fb4ansn,0.6599283544997409,0.49960348428704915,0.703376609357731,0.499714825384702,75
scarce-50pct,0.5,postnet,8ugac5sn,0.6449372423363516,0.5993180629081858,0.6904024663021885,0.6324852044225974,75
scarce-50pct,0.5,shallow-ensemble,k6scvi1c,0.6671188581825873,0.6205737673226845,0.7101454134932998,0.6639445889696252,75
scarce-50pct,0.5,sngp,1692idyk,0.6865732673818753,0.6833786394500587,0.7318179760336413,0.7305728810030355,75
scarce-50pct,0.5,sngp,jkzjb5vz,0.6907835611040761,0.6890789430344679,0.7361072045648578,0.7362474916447342,75
