phase,train_fraction,method,queue_run,severity,corruption,it_total_ood_auroc,it_epistemic_ood_auroc,it_aleatoric_ood_auroc
full-data,1.0,sngp,1692idyk,1,brightness,0.500515,0.500005,0.500518
full-data,1.0,sngp,1692idyk,1,contrast,0.515318,0.509990,0.515329
full-data,1.0,sngp,1692idyk,1,defocus_blur,0.504478,0.503145,0.504485
full-data,1.0,sngp,1692idyk,1,elastic,0.642576,0.627158,0.642608
full-data,1.0,sngp,1692idyk,1,fog,0.508958,0.506356,0.508965
full-data,1.0,sngp,1692idyk,1,frost,0.625655,0.618629,0.625663
full-data,1.0,sngp,1692idyk,1,frosted_glass_blur,0.879337,0.871596,0.879373
full-data,1.0,sngp,1692idyk,1,gaussian_noise,0.756778,0.751952,0.756780
full-data,1.0,sngp,1692idyk,1,impulse_noise,0.712445,0.708018,0.712446
full-data,1.0,sngp,1692idyk,1,jpeg,0.696740,0.676895,0.696796
full-data,1.0,sngp,1692idyk,1,motion_blur,0.631321,0.623964,0.631324
full-data,1.0,sngp,1692idyk,1,pixelate,0.576755,0.565832,0.576780
full-data,1.0,sngp,1692idyk,1,shot_noise,0.685514,0.682070,0.685503
full-data,1.0,sngp,1692idyk,1,snow,0.611051,0.603203,0.611073
full-data,1.0,sngp,1692idyk,1,zoom_blur,0.687784,0.676169,0.687804
full-data,1.0,sngp,1692idyk,2,brightness,0.508991,0.506271,0.508998
full-data,1.0,sngp,1692idyk,2,contrast,0.594170,0.578666,0.594202
full-data,1.0,sngp,1692idyk,2,defocus_blur,0.550711,0.543569,0.550721
full-data,1.0,sngp,1692idyk,2,elastic,0.644239,0.628648,0.644272
full-data,1.0,sngp,1692idyk,2,fog,0.543440,0.534569,0.543459
full-data,1.0,sngp,1692idyk,2,frost,0.699849,0.691003,0.699865
full-data,1.0,sngp,1692idyk,2,frosted_glass_blur,0.873560,0.863789,0.873604
full-data,1.0,sngp,1692idyk,2,gaussian_noise,0.855297,0.852059,0.855307
full-data,1.0,sngp,1692idyk,2,impulse_noise,0.812134,0.806065,0.812142
full-data,1.0,sngp,1692idyk,2,jpeg,0.773566,0.755036,0.773622
full-data,1.0,sngp,1692idyk,2,motion_blur,0.728053,0.721734,0.728055
full-data,1.0,sngp,1692idyk,2,pixelate,0.663027,0.649304,0.663063
full-data,1.0,sngp,1692idyk,2,shot_noise,0.764251,0.760178,0.764249
