phase,train_fraction,method,queue_run,n_corruption_points,severity2_n,severity2_it_total_ood_auroc_mean,severity2_it_epistemic_ood_auroc_mean,all_severities_it_total_ood_auroc_mean,all_severities_it_epistemic_ood_auroc_mean
full-data,1.0,ddu,5w1yjrmj,75,15,0.681021,0.500000,0.725243,0.500000
full-data,1.0,edl,5lhhpt1y,75,15,0.668960,0.669073,0.714945,0.715092
full-data,1.0,het-xl,e6rpfaue,75,15,0.684554,0.671757,0.728187,0.717473
full-data,1.0,het-xl,olapo0kg,75,15,0.644605,0.643996,0.695887,0.695038
full-data,1.0,hetclassnn,pb3a6oru,75,15,0.684962,0.685472,0.730305,0.728723
full-data,1.0,loss-prediction,9fb4ansn,75,15,0.660961,0.500000,0.705339,0.500000
full-data,1.0,postnet,8ugac5sn,75,15,0.654685,0.622110,0.700150,0.654524
full-data,1.0,shallow-ensemble,k6scvi1c,75,15,0.649803,0.604757,0.699165,0.649005
full-data,1.0,sngp,1692idyk,75,15,0.699650,0.690601,0.748368,0.741041
full-data,1.0,sngp,jkzjb5vz,75,15,0.697265,0.692514,0.744836,0.740998
scarce-50pct,0.5,ddu,5w1yjrmj,75,15,0.677899,0.500000,0.722512,0.500000
scarce-50pct,0.5,edl,5lhhpt1y,75,15,0.635569,0.635626,0.677203,0.677292
scarce-50pct,0.5,het-xl,e6rpfaue,75,15,0.665169,0.657474,0.707726,0.701417
scarce-50pct,0.5,het-xl,olapo0kg,75,15,0.683179,0.682696,0.725297,0.724683
scarce-50pct,0.5,hetclassnn,pb3a6oru,75,15,0.663290,0.664455,0.707922,0.708279
scarce-50pct,0.5,loss-prediction,9fb4ansn,75,15,0.659928,0.500000,0.703377,0.500000
scarce-50pct,0.5,postnet,8ugac5sn,75,15,0.644355,0.599942,0.689761,0.633326
scarce-50pct,0.5,shallow-ensemble,k6scvi1c,75,15,0.667119,0.631510,0.710145,0.675119
scarce-50pct,0.5,sngp,1692idyk,75,15,0.686572,0.683455,0.731863,0.730721
scarce-50pct,0.5,sngp,jkzjb5vz,75,15,0.690791,0.689155,0.736154,0.736328
scarce-10pct,0.1,ddu,5w1yjrmj,75,15,0.614750,0.500000,0.647436,0.500000
scarce-10pct,0.1,edl,5lhhpt1y,75,15,0.539758,0.541780,0.552602,0.554208
scarce-10pct,0.1,het-xl,e6rpfaue,75,15,0.601341,0.600504,0.630988,0.630789
scarce-10pct,0.1,het-xl,olapo0kg,75,15,0.630161,0.629442,0.660736,0.659900
scarce-10pct,0.1,hetclassnn,pb3a6oru,75,15,0.594612,0.596375,0.626359,0.627714
scarce-10pct,0.1,loss-prediction,9fb4ansn,75,15,0.563995,0.500000,0.579461,0.500000
scarce-10pct,0.1,postnet,8ugac5sn,75,15,0.603470,0.587495,0.632762,0.611133
scarce-10pct,0.1,shallow-ensemble,k6scvi1c,75,15,0.608368,0.602366,0.638540,0.632143
scarce-10pct,0.1,sngp,1692idyk,75,15,0.599122,0.603533,0.625406,0.633589
scarce-10pct,0.1,sngp,jkzjb5vz,75,15,0.576103,0.577057,0.601600,0.605581
