phase,train_fraction,method,parameter_source,decomposition,num_samples,num_finite_samples,mean_aleatoric,mean_epistemic,std_aleatoric,std_epistemic,pearson_aleatoric_label_entropy,spearman_aleatoric_label_entropy,pearson_epistemic_label_entropy,spearman_epistemic_label_entropy,spearman_aleatoric_vote_disagreement,spearman_epistemic_vote_disagreement
full-data,1,ce-baseline,transferred-cifar-config,information-theoretic,977,977,0.1948926449,0,0.1972149014,0,-0.02277836745,0.09752541141,,,0.05314769529,
full-data,1,ce-baseline,transferred-cifar-config,bregman-estimated,977,977,0.1948926449,-2.925128195e-10,0.1972149014,7.29671612e-09,-0.02277836745,0.09752541141,,,0.05314769529,
full-data,1,mc-dropout,transferred-cifar-config,information-theoretic,977,977,0.2541011274,0.001403390779,0.2316378653,0.001669848221,0.002800898442,0.1086078474,0.0612348021,0.1655443677,0.06341764931,0.1235633543
full-data,1,mc-dropout,transferred-cifar-config,bregman-estimated,977,977,0.2541011274,0.001406427124,0.2316378653,0.001693099621,0.002800898442,0.1086078474,0.06052106548,0.1654319528,0.06341764931,0.1234287441
full-data,1,sngp-1692idyk,transferred-cifar-config,information-theoretic,977,977,0.2953855097,0.03335553408,0.2096384615,0.04260186851,0.03560884483,0.1155213125,-0.02847285038,0.1098512998,0.06556479995,0.05869831176
full-data,1,sngp-1692idyk,transferred-cifar-config,bregman-estimated,977,977,0.2953855097,0.03934988752,0.2096384615,0.05860354379,0.03560884483,0.1155213125,-0.03095027456,0.1099916874,0.06556479995,0.05882431245
full-data,1,edl,transferred-cifar-config,information-theoretic,977,977,0.2526060641,0.04119374231,0.1193766743,0.03423536569,0.1688747719,0.2358073914,0.1556971686,0.2365156018,0.2079673679,0.2083042988
full-data,1,edl,transferred-cifar-config,bregman-estimated,977,977,0.2526060641,0.04897075891,0.1193766743,0.04712282121,0.1688747719,0.2358073914,0.1477749449,0.2347380942,0.2079673679,0.2066159123
full-data,1,ddu,transferred-cifar-config,information-theoretic,977,977,0.5424268246,0,0.1759445965,0,0.1231435183,0.1089882549,,,0.05982878725,
full-data,1,ddu,transferred-cifar-config,bregman-estimated,977,977,0.5424268246,-1.497487273e-10,0.1759445965,1.814082928e-08,0.1231435183,0.1089882549,,,0.05982878725,
full-data,1,postnet,transferred-cifar-config,information-theoretic,977,977,0.1686228067,0.0008356660837,0.21587497,0.00535094738,0.1408038605,0.2170141304,-0.05724798014,0.0969669451,0.1879247358,0.06924079023
full-data,1,postnet,transferred-cifar-config,bregman-estimated,977,977,0.1686228067,0.0009431230137,0.21587497,0.007063381374,0.1408038605,0.2170141304,-0.05161921209,0.09458202463,0.1879247358,0.06709660681
full-data,1,loss-prediction,transferred-cifar-config,information-theoretic,977,977,0.1834730208,0,0.2306379527,0,-0.01746156028,0.1319267703,,,0.08146029684,
