method,parameter_source,decomposition,scarce_fraction,full_mean_aleatoric,scarce_mean_aleatoric,aleatoric_scarcity_shift,full_mean_epistemic,scarce_mean_epistemic,epistemic_scarcity_shift,full_spearman_aleatoric_label_entropy,scarce_spearman_aleatoric_label_entropy,full_spearman_epistemic_label_entropy,scarce_spearman_epistemic_label_entropy,scarcity_specialization_margin
ce-baseline,transferred-cifar-config,bregman-estimated,0.5,0.1948926449,0.2540898025,0.05919715762,-2.925128195e-10,1.194110366e-10,4.119238561e-10,0.09752541141,0.1102284781,,,-0.05919715721
ce-baseline,transferred-cifar-config,bregman-estimated,0.1,0.1948926449,0.5320232511,0.3371306062,-2.925128195e-10,-2.209104982e-10,7.160232129e-11,0.09752541141,0.1411973713,,,-0.3371306061
ce-baseline,transferred-cifar-config,information-theoretic,0.5,0.1948926449,0.2540898025,0.05919715762,0,0,0,0.09752541141,0.1102284781,,,-0.05919715762
ce-baseline,transferred-cifar-config,information-theoretic,0.1,0.1948926449,0.5320232511,0.3371306062,0,0,0,0.09752541141,0.1411973713,,,-0.3371306062
correctness-prediction,exact-cdc24149,bregman-estimated,0.5,0.1093047783,0.1919858307,0.08268105239,1.064099364e-10,6.260031382e-11,-4.38096226e-11,0.1585035034,0.1014952445,,,-0.08268105243
correctness-prediction,exact-cdc24149,bregman-estimated,0.1,0.1093047783,0.1053428948,-0.003961883485,1.064099364e-10,9.692553704e-11,-9.484399377e-12,0.1585035034,0.08470896188,,,-0.003961883495
correctness-prediction,exact-cdc24149,information-theoretic,0.5,0.1093047783,0.1919858307,0.08268105239,0,0,0,0.1585035034,0.1014952445,,,-0.08268105239
correctness-prediction,exact-cdc24149,information-theoretic,0.1,0.1093047783,0.1053428948,-0.003961883485,0,0,0,0.1585035034,0.08470896188,,,-0.003961883485
ddu,transferred-cifar-config,bregman-estimated,0.5,0.5424268246,0.5527040958,0.01027727127,-1.497487273e-10,-1.864358529e-10,-3.668712556e-11,0.1089882549,0.1444419638,,,-0.01027727131
ddu,transferred-cifar-config,bregman-estimated,0.1,0.5424268246,0.532631278,-0.009795546532,-1.497487273e-10,-2.07800957e-10,-5.805222969e-11,0.1089882549,0.1341330991,,,-0.00979554659
ddu,transferred-cifar-config,information-theoretic,0.5,0.5424268246,0.5527040958,0.01027727127,0,0,0,0.1089882549,0.1444419638,,,-0.01027727127
ddu,transferred-cifar-config,information-theoretic,0.1,0.5424268246,0.532631278,-0.009795546532,0,0,0,0.1089882549,0.1341330991,,,-0.009795546532
deep-correctness-prediction,transferred-cifar-config-extra,bregman-estimated,0.5,0.3530355692,0.3340080976,-0.01902747154,1.072580635e-10,-3.095023404e-10,-4.16760404e-10,0.1370170168,0.1224854522,,,-0.01902747196
deep-correctness-prediction,transferred-cifar-config-extra,bregman-estimated,0.1,0.3530355692,0.0396740362,-0.313361533,1.072580635e-10,6.100782379e-11,-4.625023975e-11,0.1370170168,0.1097208574,,,-0.313361533
