phase,method,parameter_source,final_accuracy,final_metric,best_metric,best_epoch
full-data,ce-baseline,transferred-cifar-config,0.7584,0.7376,0.7779,58
full-data,correctness-prediction,transferred-cifar-config,0.7513,0.6758,0.7219,55
full-data,mc-dropout,transferred-cifar-config,0.7718,0.7431,0.7826,23
full-data,sngp-1692idyk,transferred-cifar-config,0.7718,0.7040,0.8062,69
full-data,edl,transferred-cifar-config,0.8127,0.7533,0.7862,64
full-data,ddu,transferred-cifar-config,0.7707,0.7559,0.7821,31
full-data,postnet,transferred-cifar-config,0.7697,0.6955,0.7573,119
full-data,loss-prediction,transferred-cifar-config,0.7707,0.6482,0.7268,103
full-data,het-xl-e6rpfaue,transferred-cifar-config,0.7984,0.7566,0.7802,106
full-data,sngp-jkzjb5vz,transferred-cifar-config,0.7472,0.7342,0.7602,93
full-data,shallow-ensemble,transferred-cifar-config,0.7799,0.7691,0.7810,68
full-data,het-xl-olapo0kg,transferred-cifar-config,0.7758,0.7378,0.7718,24
full-data,hetclassnn,transferred-cifar-config,0.7554,0.7454,0.7633,24
scarce-50pct,ce-baseline,transferred-cifar-config,0.7451,0.7238,0.7771,49
scarce-50pct,correctness-prediction,transferred-cifar-config,0.7544,0.6732,0.7475,28
scarce-50pct,mc-dropout,transferred-cifar-config,0.7462,0.7198,0.7728,53
scarce-50pct,sngp-1692idyk,transferred-cifar-config,0.7134,0.7073,0.7546,89
scarce-50pct,edl,transferred-cifar-config,0.7707,0.7265,0.7496,21
scarce-50pct,ddu,transferred-cifar-config,0.7718,0.7050,0.7724,14
scarce-50pct,postnet,transferred-cifar-config,0.7523,0.6665,0.7435,40
scarce-50pct,loss-prediction,transferred-cifar-config,0.7513,0.6734,0.7721,38
scarce-50pct,het-xl-e6rpfaue,transferred-cifar-config,0.7677,0.7093,0.7636,50
scarce-50pct,sngp-jkzjb5vz,transferred-cifar-config,0.7185,0.7103,0.7492,57
scarce-50pct,shallow-ensemble,transferred-cifar-config,0.7748,0.6903,0.7648,52
scarce-50pct,het-xl-olapo0kg,transferred-cifar-config,0.7564,0.7399,0.7811,38
scarce-50pct,hetclassnn,transferred-cifar-config,0.7533,0.6947,0.7556,57
scarce-10pct,ce-baseline,transferred-cifar-config,0.6592,0.6921,0.7164,97
scarce-10pct,correctness-prediction,transferred-cifar-config,0.7052,0.6394,0.6918,76
scarce-10pct,mc-dropout,transferred-cifar-config,0.6377,0.6747,0.7227,85
scarce-10pct,sngp-1692idyk,transferred-cifar-config,0.6387,0.6783,0.6881,235
scarce-10pct,edl,transferred-cifar-config,0.7042,0.6819,0.7105,39
scarce-10pct,ddu,transferred-cifar-config,0.6909,0.6726,0.7318,63
scarce-10pct,postnet,transferred-cifar-config,0.6745,0.6408,0.6804,170
scarce-10pct,loss-prediction,transferred-cifar-config,0.7073,0.5281,0.6283,104
scarce-10pct,het-xl-e6rpfaue,transferred-cifar-config,0.6776,0.6942,0.7142,70
scarce-10pct,sngp-jkzjb5vz,transferred-cifar-config,0.6264,0.5664,0.6173,209
scarce-10pct,shallow-ensemble,transferred-cifar-config,0.7021,0.6751,0.7010,117
scarce-10pct,het-xl-olapo0kg,transferred-cifar-config,0.6397,0.6660,0.6832,121
scarce-10pct,hetclassnn,transferred-cifar-config,0.7001,0.6928,0.7098,151
full-data,correctness-prediction,exact-cdc24149,0.7533,0.7299,0.7555,171
scarce-50pct,correctness-prediction,exact-cdc24149,0.7441,0.6889,0.7643,19
scarce-10pct,correctness-prediction,exact-cdc24149,0.6981,0.6578,0.7414,116
