method,method_label,severity,corruption,it_au_ood_auroc,it_eu_ood_auroc,total_entropy_ood_auroc,bregman_au_ood_auroc
loss-prediction,Loss prediction,1,brightness_down,0.669966,0.500000,0.669966,0.669966
loss-prediction,Loss prediction,1,bubble,0.459197,0.500000,0.459197,0.459197
loss-prediction,Loss prediction,1,contrast_up,0.469606,0.500000,0.469606,0.469606
loss-prediction,Loss prediction,1,defocus_blur,0.514974,0.500000,0.514974,0.514974
loss-prediction,Loss prediction,1,jpeg_compression,0.496591,0.500000,0.496591,0.496591
loss-prediction,Loss prediction,1,motion_blur,0.528185,0.500000,0.528185,0.528185
loss-prediction,Loss prediction,1,pixelate,0.500476,0.500000,0.500476,0.500476
loss-prediction,Loss prediction,1,stain_deposit,0.502179,0.500000,0.502179,0.502179
loss-prediction,Loss prediction,2,brightness_down,0.805823,0.500000,0.805823,0.805823
loss-prediction,Loss prediction,2,bubble,0.421708,0.500000,0.421708,0.421708
loss-prediction,Loss prediction,2,contrast_up,0.438802,0.500000,0.438802,0.438802
loss-prediction,Loss prediction,2,defocus_blur,0.529768,0.500000,0.529768,0.529768
loss-prediction,Loss prediction,2,jpeg_compression,0.496760,0.500000,0.496760,0.496760
loss-prediction,Loss prediction,2,motion_blur,0.539295,0.500000,0.539295,0.539295
loss-prediction,Loss prediction,2,pixelate,0.498737,0.500000,0.498737,0.498737
loss-prediction,Loss prediction,2,stain_deposit,0.512738,0.500000,0.512738,0.512738
loss-prediction,Loss prediction,3,brightness_down,0.886978,0.500000,0.886978,0.886978
loss-prediction,Loss prediction,3,bubble,0.328315,0.500000,0.328315,0.328315
loss-prediction,Loss prediction,3,contrast_up,0.410927,0.500000,0.410927,0.410927
loss-prediction,Loss prediction,3,defocus_blur,0.540348,0.500000,0.540348,0.540348
loss-prediction,Loss prediction,3,jpeg_compression,0.497558,0.500000,0.497558,0.497558
loss-prediction,Loss prediction,3,motion_blur,0.547322,0.500000,0.547322,0.547322
loss-prediction,Loss prediction,3,pixelate,0.495196,0.500000,0.495196,0.495196
loss-prediction,Loss prediction,3,stain_deposit,0.519044,0.500000,0.519044,0.519044
loss-prediction,Loss prediction,4,brightness_down,0.882812,0.500000,0.882812,0.882812
loss-prediction,Loss prediction,4,bubble,0.282706,0.500000,0.282706,0.282706
loss-prediction,Loss prediction,4,contrast_up,0.386073,0.500000,0.386073,0.386073
loss-prediction,Loss prediction,4,defocus_blur,0.546514,0.500000,0.546514,0.546514
loss-prediction,Loss prediction,4,jpeg_compression,0.498664,0.500000,0.498664,0.498664
loss-prediction,Loss prediction,4,motion_blur,0.547322,0.500000,0.547322,0.547322
loss-prediction,Loss prediction,4,pixelate,0.507392,0.500000,0.507392,0.507392
loss-prediction,Loss prediction,4,stain_deposit,0.525214,0.500000,0.525214,0.525214
loss-prediction,Loss prediction,5,brightness_down,0.774963,0.500000,0.774963,0.774963
loss-prediction,Loss prediction,5,bubble,0.167852,0.500000,0.167852,0.167852
loss-prediction,Loss prediction,5,contrast_up,0.364358,0.500000,0.364358,0.364358
