intervention,method,level,decomposition,clean_au,intervention_au,delta_au,clean_eu,intervention_eu,delta_eu,finite_n
label-noise,ce-baseline,0.1,information-theoretic,0.154702127,0.8155801892,0.6608780622,0,0,0,7180
label-noise,ce-baseline,0.1,bregman-estimated,0.154702127,0.8155801892,0.6608780622,-9.265996304e-11,-3.855410713e-10,-2.928811083e-10,7180
label-noise,correctness-prediction,0.1,information-theoretic,0.1045672521,0.7415869832,0.6370197311,0,0,0,7180
label-noise,correctness-prediction,0.1,bregman-estimated,0.1045672521,0.7415869832,0.6370197311,-7.880567032e-11,-7.616401954e-11,2.64165078e-12,7180
label-noise,loss-prediction,0.1,information-theoretic,0.1019592285,0.7888993621,0.6869401336,0,0,0,7180
label-noise,loss-prediction,0.1,bregman-estimated,0.1019592285,0.7888993621,0.6869401336,-3.301845949e-11,-4.574476631e-10,-4.244292036e-10,7180
label-noise,mc-dropout,0.1,information-theoretic,0.1328613609,0.7866052985,0.6537439376,0.01678682305,0.00750896614,-0.00927785691,7180
label-noise,mc-dropout,0.1,bregman-estimated,0.1328613609,0.7866052985,0.6537439376,0.0183695294,0.007627154235,-0.01074237517,7180
label-noise,edl,0.1,information-theoretic,0.5692746639,1.901835799,1.332561135,0.09306623042,0.1914445311,0.09837830068,7180
label-noise,edl,0.1,bregman-estimated,0.5692746639,1.901835799,1.332561135,0.1084155217,0.202980116,0.09456459432,7180
label-noise,sngp,0.1,information-theoretic,0.1348998994,0.2723324597,0.1374325603,0.001008035848,0.0009059734875,-0.0001020623605,7180
label-noise,sngp,0.1,bregman-estimated,0.1348998994,0.2723324597,0.1374325603,0.00101473846,0.000907897891,-0.000106840569,7180
label-noise,het,0.1,information-theoretic,0.1217880547,0.7438938618,0.6221058071,0.01736928709,0.02761124074,0.01024195365,7180
label-noise,het,0.1,bregman-estimated,0.1217880547,0.7438938618,0.6221058071,0.02015758306,0.02749362588,0.00733604282,7180
label-noise,het-xl,0.1,information-theoretic,0.1636299342,0.7195789218,0.5559489876,0.01206135191,0.05887023732,0.04680888541,7180
label-noise,het-xl,0.1,bregman-estimated,0.1636299342,0.7195789218,0.5559489876,0.0128941806,0.05866575614,0.04577157554,7180
label-noise,hetclassnn,0.1,information-theoretic,0.1107285246,0.75904423,0.6483157054,0.01530389488,0.008808136918,-0.006495757962,7180
label-noise,hetclassnn,0.1,bregman-estimated,0.1107285246,0.75904423,0.6483157054,0.0171825923,0.008970839903,-0.008211752397,7180
label-noise,shallow-ensemble,0.1,information-theoretic,0.1069713533,0.4822121561,0.3752408028,0.003378773341,0.2594304383,0.256051665,7180
label-noise,shallow-ensemble,0.1,bregman-estimated,0.1069713533,0.4822121561,0.3752408028,0.003639814677,0.2650301754,0.2613903607,7180
label-noise,duq,0.1,information-theoretic,0.1796124578,0.8999188542,0.7203063964,0,0,0,7180
label-noise,duq,0.1,bregman-estimated,0.1796124578,0.8999188542,0.7203063964,-2.251394383e-11,-9.926440225e-11,-7.675045842e-11,7180
label-noise,ce-baseline,0.2,information-theoretic,0.154702127,1.185939074,1.031236947,0,0,0,7180
label-noise,ce-baseline,0.2,bregman-estimated,0.154702127,1.185939074,1.031236947,-9.265996304e-11,1.12964138e-10,2.05624101e-10,7180
label-noise,correctness-prediction,0.2,information-theoretic,0.1045672521,1.101204991,0.9966377389,0,0,0,7180
label-noise,correctness-prediction,0.2,bregman-estimated,0.1045672521,1.101204991,0.9966377389,-7.880567032e-11,-1.289306075e-11,6.591260957e-11,7180
label-noise,loss-prediction,0.2,information-theoretic,0.1019592285,1.18189466,1.079935432,0,0,0,7180
