intervention,method,level,decomposition,au_mean,eu_mean,finite_n,task
label-noise,ce-baseline,0.1,information-theoretic,0.8155801892,0,7180,1
label-noise,ce-baseline,0.1,bregman-estimated,0.8155801892,-3.855410713e-10,7180,1
label-noise,correctness-prediction,0.1,information-theoretic,0.7415869832,0,7180,2
label-noise,correctness-prediction,0.1,bregman-estimated,0.7415869832,-7.616401954e-11,7180,2
label-noise,loss-prediction,0.1,information-theoretic,0.7888993621,0,7180,3
label-noise,loss-prediction,0.1,bregman-estimated,0.7888993621,-4.574476631e-10,7180,3
label-noise,mc-dropout,0.1,information-theoretic,0.7866052985,0.00750896614,7180,4
label-noise,mc-dropout,0.1,bregman-estimated,0.7866052985,0.007627154235,7180,4
label-noise,edl,0.1,information-theoretic,1.901835799,0.1914445311,7180,5
label-noise,edl,0.1,bregman-estimated,1.901835799,0.202980116,7180,5
label-noise,sngp,0.1,information-theoretic,0.2723324597,0.0009059734875,7180,6
label-noise,sngp,0.1,bregman-estimated,0.2723324597,0.000907897891,7180,6
label-noise,het,0.1,information-theoretic,0.7438938618,0.02761124074,7180,7
label-noise,het,0.1,bregman-estimated,0.7438938618,0.02749362588,7180,7
label-noise,het-xl,0.1,information-theoretic,0.7195789218,0.05887023732,7180,8
label-noise,het-xl,0.1,bregman-estimated,0.7195789218,0.05866575614,7180,8
label-noise,hetclassnn,0.1,information-theoretic,0.75904423,0.008808136918,7180,9
label-noise,hetclassnn,0.1,bregman-estimated,0.75904423,0.008970839903,7180,9
label-noise,shallow-ensemble,0.1,information-theoretic,0.4822121561,0.2594304383,7180,10
label-noise,shallow-ensemble,0.1,bregman-estimated,0.4822121561,0.2650301754,7180,10
label-noise,duq,0.1,information-theoretic,0.8999188542,0,7180,11
label-noise,duq,0.1,bregman-estimated,0.8999188542,-9.926440225e-11,7180,11
label-noise,ce-baseline,0.2,information-theoretic,1.185939074,0,7180,12
label-noise,ce-baseline,0.2,bregman-estimated,1.185939074,1.12964138e-10,7180,12
label-noise,correctness-prediction,0.2,information-theoretic,1.101204991,0,7180,13
label-noise,correctness-prediction,0.2,bregman-estimated,1.101204991,-1.289306075e-11,7180,13
label-noise,loss-prediction,0.2,information-theoretic,1.18189466,0,7180,14
label-noise,loss-prediction,0.2,bregman-estimated,1.18189466,1.131966396e-10,7180,14
label-noise,mc-dropout,0.2,information-theoretic,1.029710293,0.009660859592,7180,15
label-noise,mc-dropout,0.2,bregman-estimated,1.029710293,0.009837020189,7180,15
label-noise,edl,0.2,information-theoretic,1.918551922,0.1954470724,7180,16
label-noise,edl,0.2,bregman-estimated,1.918551922,0.2076462358,7180,16
label-noise,sngp,0.2,information-theoretic,0.3686846793,0.001181738451,7180,17
label-noise,sngp,0.2,bregman-estimated,0.3686846793,0.001184327877,7180,17
label-noise,het,0.2,information-theoretic,1.078650117,0.03038691357,7180,18
label-noise,het,0.2,bregman-estimated,1.078650117,0.03055573441,7180,18
label-noise,het-xl,0.2,information-theoretic,1.031405926,0.06373660266,7180,19
label-noise,het-xl,0.2,bregman-estimated,1.031405926,0.06373070925,7180,19
label-noise,hetclassnn,0.2,information-theoretic,1.134796381,0.006960401312,7180,20
label-noise,hetclassnn,0.2,bregman-estimated,1.134796381,0.007053905632,7180,20
label-noise,shallow-ensemble,0.2,information-theoretic,0.661572814,0.4187656045,7180,21
label-noise,shallow-ensemble,0.2,bregman-estimated,0.661572814,0.5498489141,7180,21
label-noise,duq,0.2,information-theoretic,1.095125914,0,7180,22
label-noise,duq,0.2,bregman-estimated,1.095125914,1.318289228e-10,7180,22
label-noise,ce-baseline,0.4,information-theoretic,1.642122865,0,7180,23
label-noise,ce-baseline,0.4,bregman-estimated,1.642122865,-2.507642149e-10,7180,23
label-noise,correctness-prediction,0.4,information-theoretic,1.627491236,0,7180,24
label-noise,correctness-prediction,0.4,bregman-estimated,1.627491236,-8.080109359e-10,7180,24
label-noise,loss-prediction,0.4,information-theoretic,1.716375828,0,7180,25
label-noise,loss-prediction,0.4,bregman-estimated,1.716375828,1.589563758e-10,7180,25
label-noise,mc-dropout,0.4,information-theoretic,1.603274465,0.002178326482,7180,26
label-noise,mc-dropout,0.4,bregman-estimated,1.603274465,0.002187790815,7180,26
label-noise,edl,0.4,information-theoretic,1.834073424,0.3614180982,7180,27
label-noise,edl,0.4,bregman-estimated,1.834073424,0.4383103848,7180,27
label-noise,sngp,0.4,information-theoretic,1.709900498,0.00728354929,7180,28
label-noise,sngp,0.4,bregman-estimated,1.709900498,0.007343093399,7180,28
label-noise,het,0.4,information-theoretic,1.564830422,0.02884599753,7180,29
label-noise,het,0.4,bregman-estimated,1.564830422,0.02949024737,7180,29
label-noise,het-xl,0.4,information-theoretic,1.589464545,0.06682751328,7180,30
label-noise,het-xl,0.4,bregman-estimated,1.589464545,0.06969834864,7180,30
label-noise,hetclassnn,0.4,information-theoretic,1.609501123,0.00212488207,7180,31
label-noise,hetclassnn,0.4,bregman-estimated,1.609501123,0.002130168956,7180,31
label-noise,shallow-ensemble,0.4,information-theoretic,1.043730855,0.6094635725,7180,32
label-noise,shallow-ensemble,0.4,bregman-estimated,1.043730855,0.9342032671,7180,32
label-noise,duq,0.4,information-theoretic,1.594254732,0,7180,33
label-noise,duq,0.4,bregman-estimated,1.594254732,7.390317525e-11,7180,33
