intervention,method,level,decomposition,au_mean,eu_mean,finite_n,task
label-noise,deep-correctness-prediction,0.1,information-theoretic,0.8792077899,0,7180,1
label-noise,deep-correctness-prediction,0.1,bregman-estimated,0.8792077899,-5.023045521e-11,7180,1
label-noise,deep-loss-prediction,0.1,information-theoretic,0.9306922555,0,7180,2
label-noise,deep-loss-prediction,0.1,bregman-estimated,0.9306922555,-5.88781468e-10,7180,2
label-noise,postnet,0.1,information-theoretic,0.8538199067,0.03165017441,7180,3
label-noise,postnet,0.1,bregman-estimated,0.8538199067,0.03852401674,7180,3
label-noise,deep-correctness-prediction,0.2,information-theoretic,1.125088692,0,7180,4
label-noise,deep-correctness-prediction,0.2,bregman-estimated,1.125088692,-1.700933006e-10,7180,4
label-noise,deep-loss-prediction,0.2,information-theoretic,1.141994715,0,7180,5
label-noise,deep-loss-prediction,0.2,bregman-estimated,1.141994715,4.577930257e-10,7180,5
label-noise,postnet,0.2,information-theoretic,1.1666435,0.005213003606,7180,6
label-noise,postnet,0.2,bregman-estimated,1.1666435,0.005951620638,7180,6
label-noise,deep-correctness-prediction,0.4,information-theoretic,1.698348284,0,7180,7
label-noise,deep-correctness-prediction,0.4,bregman-estimated,1.698348284,3.800783646e-11,7180,7
label-noise,deep-loss-prediction,0.4,information-theoretic,1.631975055,0,7180,8
label-noise,deep-loss-prediction,0.4,bregman-estimated,1.631975055,-1.479646267e-10,7180,8
label-noise,postnet,0.4,information-theoretic,1.658299446,0.0009509843658,7180,9
label-noise,postnet,0.4,bregman-estimated,1.658299446,0.0008925825241,7180,9
