intervention,method,level,decomposition,au_mean,eu_mean,finite_n,task
scarcity,ce-baseline,0.5,information-theoretic,0.1390448361635208,0.0,7180,1
scarcity,ce-baseline,0.5,bregman-estimated,0.1390448361635208,-6.318235518110171e-11,7180,1
scarcity,correctness-prediction,0.5,information-theoretic,0.1342782825231552,0.0,7180,2
scarcity,correctness-prediction,0.5,bregman-estimated,0.1342782825231552,4.843066052362399e-13,7180,2
scarcity,deep-correctness-prediction,0.5,information-theoretic,0.1402217596769333,0.0,7180,3
scarcity,deep-correctness-prediction,0.5,bregman-estimated,0.1402217596769333,-4.573494014059598e-11,7180,3
scarcity,loss-prediction,0.5,information-theoretic,0.14649862051010132,0.0,7180,4
scarcity,loss-prediction,0.5,bregman-estimated,0.14649862051010132,1.009392847084456e-10,7180,4
scarcity,deep-loss-prediction,0.5,information-theoretic,0.13500989973545074,0.0,7180,5
scarcity,deep-loss-prediction,0.5,bregman-estimated,0.13500989973545074,2.234327479977427e-11,7180,5
scarcity,mc-dropout,0.5,information-theoretic,0.14573794603347778,0.01749068684875965,7180,6
scarcity,mc-dropout,0.5,bregman-estimated,0.14573794603347778,0.019231699407100677,7180,6
scarcity,edl,0.5,information-theoretic,0.9848726391792297,0.1781197488307953,7180,7
scarcity,edl,0.5,bregman-estimated,0.9848726391792297,0.21276570856571198,7180,7
scarcity,sngp,0.5,information-theoretic,0.21952146291732788,0.0035606881137937307,7180,8
scarcity,sngp,0.5,bregman-estimated,0.21952146291732788,0.003611416555941105,7180,8
scarcity,postnet,0.5,information-theoretic,0.3620414733886719,0.008622483350336552,7180,9
scarcity,postnet,0.5,bregman-estimated,0.3620414733886719,0.010276475921273232,7180,9
scarcity,het,0.5,information-theoretic,0.10627036541700363,0.005718494299799204,7180,10
scarcity,het,0.5,bregman-estimated,0.10627036541700363,0.006173368543386459,7180,10
scarcity,het-xl,0.5,information-theoretic,0.1739751249551773,0.0031956343445926905,7180,11
scarcity,het-xl,0.5,bregman-estimated,0.1739751249551773,0.003257032250985503,7180,11
scarcity,hetclassnn,0.5,information-theoretic,0.1743789166212082,0.01816599816083908,7180,12
scarcity,hetclassnn,0.5,bregman-estimated,0.1743789166212082,0.019658025354146957,7180,12
scarcity,shallow-ensemble,0.5,information-theoretic,0.151791512966156,0.005833289586007595,7180,13
scarcity,shallow-ensemble,0.5,bregman-estimated,0.151791512966156,0.00599647918716073,7180,13
scarcity,duq,0.5,information-theoretic,0.21627573668956757,0.0,7180,14
scarcity,duq,0.5,bregman-estimated,0.21627573668956757,-1.176770902944213e-10,7180,14
scarcity,ce-baseline,0.1,information-theoretic,0.2737720310688019,0.0,7180,15
scarcity,ce-baseline,0.1,bregman-estimated,0.2737720310688019,-2.0326072769361048e-10,7180,15
scarcity,correctness-prediction,0.1,information-theoretic,0.2863001823425293,0.0,7180,16
scarcity,correctness-prediction,0.1,bregman-estimated,0.2863001823425293,-3.776508966657488e-11,7180,16
scarcity,deep-correctness-prediction,0.1,information-theoretic,0.24532769620418549,0.0,7180,17
scarcity,deep-correctness-prediction,0.1,bregman-estimated,0.24532769620418549,-1.2690236361745377e-10,7180,17
scarcity,loss-prediction,0.1,information-theoretic,0.28106510639190674,0.0,7180,18
scarcity,loss-prediction,0.1,bregman-estimated,0.28106510639190674,2.464985160433031e-11,7180,18
scarcity,deep-loss-prediction,0.1,information-theoretic,0.26342692971229553,0.0,7180,19
scarcity,deep-loss-prediction,0.1,bregman-estimated,0.26342692971229553,2.968369161582274e-10,7180,19
scarcity,mc-dropout,0.1,information-theoretic,0.28242892026901245,0.012574744410812855,7180,20
scarcity,mc-dropout,0.1,bregman-estimated,0.28242892026901245,0.013043588027358055,7180,20
scarcity,edl,0.1,information-theoretic,1.215973138809204,0.22709469497203827,7180,21
scarcity,edl,0.1,bregman-estimated,1.215973138809204,0.27170342206954956,7180,21
scarcity,sngp,0.1,information-theoretic,0.3352729380130768,0.03525761514902115,7180,22
scarcity,sngp,0.1,bregman-estimated,0.3352729380130768,0.04399096220731735,7180,22
scarcity,postnet,0.1,information-theoretic,0.6891255378723145,0.008173457346856594,7180,23
scarcity,postnet,0.1,bregman-estimated,0.6891255378723145,0.009369056671857834,7180,23
scarcity,het,0.1,information-theoretic,0.2407551258802414,0.009830053895711899,7180,24
scarcity,het,0.1,bregman-estimated,0.2407551258802414,0.01018862146884203,7180,24
scarcity,het-xl,0.1,information-theoretic,0.4589330554008484,0.16456900537014008,7180,25
scarcity,het-xl,0.1,bregman-estimated,0.4589330554008484,1.0866384506225586,7180,25
scarcity,hetclassnn,0.1,information-theoretic,0.27348634600639343,0.012869234196841717,7180,26
scarcity,hetclassnn,0.1,bregman-estimated,0.27348634600639343,0.013376564718782902,7180,26
scarcity,shallow-ensemble,0.1,information-theoretic,0.24461102485656738,0.03501066938042641,7180,27
scarcity,shallow-ensemble,0.1,bregman-estimated,0.24461102485656738,0.12564468383789062,7180,27
scarcity,duq,0.1,information-theoretic,0.7809653878211975,0.0,7180,28
scarcity,duq,0.1,bregman-estimated,0.7809653878211975,-6.724706902438982e-11,7180,28
