intervention,method,level,decomposition,clean_au,intervention_au,delta_au,clean_eu,intervention_eu,delta_eu,finite_n
scarcity,ce-baseline,0.5,information-theoretic,0.154702127,0.1390448361635208,-0.015657290836479182,0.0,0.0,0.0,7180
scarcity,ce-baseline,0.5,bregman-estimated,0.154702127,0.1390448361635208,-0.015657290836479182,-9.265996304e-11,-6.318235518110171e-11,2.947760785889829e-11,7180
scarcity,correctness-prediction,0.5,information-theoretic,0.1045672521,0.1342782825231552,0.02971103042315522,0.0,0.0,0.0,7180
scarcity,correctness-prediction,0.5,bregman-estimated,0.1045672521,0.1342782825231552,0.02971103042315522,-7.880567032e-11,4.843066052362399e-13,7.928997692523623e-11,7180
scarcity,deep-correctness-prediction,0.5,information-theoretic,0.1002445519,0.1402217596769333,0.03997720777693328,0.0,0.0,0.0,7180
scarcity,deep-correctness-prediction,0.5,bregman-estimated,0.1002445519,0.1402217596769333,0.03997720777693328,4.009551718e-11,-4.573494014059598e-11,-8.583045732059597e-11,7180
scarcity,loss-prediction,0.5,information-theoretic,0.1019592285,0.14649862051010132,0.04453939201010132,0.0,0.0,0.0,7180
scarcity,loss-prediction,0.5,bregman-estimated,0.1019592285,0.14649862051010132,0.04453939201010132,-3.301845949e-11,1.009392847084456e-10,1.339577441984456e-10,7180
scarcity,deep-loss-prediction,0.5,information-theoretic,0.1257501543,0.13500989973545074,0.009259745435450745,0.0,0.0,0.0,7180
scarcity,deep-loss-prediction,0.5,bregman-estimated,0.1257501543,0.13500989973545074,0.009259745435450745,2.199611604e-10,2.234327479977427e-11,-1.9761788560022572e-10,7180
scarcity,mc-dropout,0.5,information-theoretic,0.1328613609,0.14573794603347778,0.01287658513347778,0.01678682305,0.01749068684875965,0.0007038637987596512,7180
scarcity,mc-dropout,0.5,bregman-estimated,0.1328613609,0.14573794603347778,0.01287658513347778,0.0183695294,0.019231699407100677,0.0008621700071006766,7180
scarcity,edl,0.5,information-theoretic,0.5692746639251709,0.9848726391792297,0.41559797525405884,0.09306623041629791,0.1781197488307953,0.08505351841449738,7180
scarcity,edl,0.5,bregman-estimated,0.5692746639251709,0.9848726391792297,0.41559797525405884,0.10841552168130875,0.21276570856571198,0.10435018688440323,7180
scarcity,sngp,0.5,information-theoretic,0.1348998994,0.21952146291732788,0.08462156351732789,0.001008035848,0.0035606881137937307,0.0025526522657937306,7180
scarcity,sngp,0.5,bregman-estimated,0.1348998994,0.21952146291732788,0.08462156351732789,0.00101473846,0.003611416555941105,0.0025966780959411047,7180
scarcity,postnet,0.5,information-theoretic,0.3013033569,0.3620414733886719,0.06073811648867189,0.01294224989,0.008622483350336552,-0.0043197665396634485,7180
scarcity,postnet,0.5,bregman-estimated,0.3013033569,0.3620414733886719,0.06073811648867189,0.01532571949,0.010276475921273232,-0.005049243568726769,7180
scarcity,het,0.5,information-theoretic,0.1217880547,0.10627036541700363,-0.015517689282996364,0.01736928709,0.005718494299799204,-0.011650792790200797,7180
scarcity,het,0.5,bregman-estimated,0.1217880547,0.10627036541700363,-0.015517689282996364,0.02015758306,0.006173368543386459,-0.013984214516613542,7180
scarcity,het-xl,0.5,information-theoretic,0.1636299342,0.1739751249551773,0.010345190755177314,0.01206135191,0.0031956343445926905,-0.00886571756540731,7180
scarcity,het-xl,0.5,bregman-estimated,0.1636299342,0.1739751249551773,0.010345190755177314,0.0128941806,0.003257032250985503,-0.009637148349014496,7180
scarcity,hetclassnn,0.5,information-theoretic,0.1107285246,0.1743789166212082,0.06365039202120819,0.01530389488,0.01816599816083908,0.0028621032808390807,7180
scarcity,hetclassnn,0.5,bregman-estimated,0.1107285246,0.1743789166212082,0.06365039202120819,0.0171825923,0.019658025354146957,0.002475433054146957,7180
scarcity,shallow-ensemble,0.5,information-theoretic,0.1069713533,0.151791512966156,0.044820159666156004,0.003378773341,0.005833289586007595,0.0024545162450075953,7180
scarcity,shallow-ensemble,0.5,bregman-estimated,0.1069713533,0.151791512966156,0.044820159666156004,0.003639814677,0.00599647918716073,0.0023566645101607306,7180
scarcity,duq,0.5,information-theoretic,0.1796124578,0.21627573668956757,0.03666327888956755,0.0,0.0,0.0,7180
scarcity,duq,0.5,bregman-estimated,0.1796124578,0.21627573668956757,0.03666327888956755,-2.251394383e-11,-1.176770902944213e-10,-9.516314646442131e-11,7180
scarcity,ce-baseline,0.1,information-theoretic,0.154702127,0.2737720310688019,0.11906990406880189,0.0,0.0,0.0,7180
scarcity,ce-baseline,0.1,bregman-estimated,0.154702127,0.2737720310688019,0.11906990406880189,-9.265996304e-11,-2.0326072769361048e-10,-1.1060076465361047e-10,7180
scarcity,correctness-prediction,0.1,information-theoretic,0.1045672521,0.2863001823425293,0.1817329302425293,0.0,0.0,0.0,7180
scarcity,correctness-prediction,0.1,bregman-estimated,0.1045672521,0.2863001823425293,0.1817329302425293,-7.880567032e-11,-3.776508966657488e-11,4.1040580653425115e-11,7180
scarcity,deep-correctness-prediction,0.1,information-theoretic,0.1002445519,0.24532769620418549,0.14508314430418548,0.0,0.0,0.0,7180
scarcity,deep-correctness-prediction,0.1,bregman-estimated,0.1002445519,0.24532769620418549,0.14508314430418548,4.009551718e-11,-1.2690236361745377e-10,-1.6699788079745377e-10,7180
